2021-2022 student count - year to date,2021-2022 attendance rate - year to date,2020-2021 student count,2020-2021 attendance rate,2019-2020 student count,2019-2020 attendance rate,Category: Student Group,District code: District name
1814,83.48,1735.0,81.55,3916.0,88.84,Homelessness: Students Experiencing Homelessness,00000CT: Connecticut
78417,88.99,76487.0,89.46,80365.0,92.77,Students With Disabilities: Students With Disabilities,00000CT: Connecticut
168984,88.51,176225.0,88.61,193706.0,93.14,Free/Reduced Lunch: Free Meal Eligible,00000CT: Connecticut
29905,91.84,30886.0,92.99,27507.0,95.18,Free/Reduced Lunch: Reduced Price Meal Eligible,00000CT: Connecticut
198889,89.01,207111.0,89.27,221213.0,93.4,Free/Reduced Lunch: Free/Reduced Price Meal Eligible,00000CT: Connecticut
43571,89.76,40619.0,89.48,45413.0,93.89,English Learners: English Learners,00000CT: Connecticut
48700,93.14,47339.0,94.83,47260.0,95.59,Race/Ethnicity: All other races,00000CT: Connecticut
63099,89.41,62267.0,89.31,64200.0,94.01,Race/Ethnicity: Black or African American,00000CT: Connecticut
146298,89.35,138260.0,89.75,136953.0,93.62,Race/Ethnicity: Hispanic/Latino of any race,00000CT: Connecticut
242188,93.38,248226.0,95.23,259933.0,95.43,Race/Ethnicity: White,00000CT: Connecticut
241106,93.98,236395.0,96.16,241610.0,96.06,High Needs: Students Without High Needs,00000CT: Connecticut
248239,89.54,251220.0,89.96,266736.0,93.61,High Needs: Students With High Needs,00000CT: Connecticut
23,93.15,,,,,Students With Disabilities: Students With Disabilities,10011: Andover School District
30,92.74,31.0,94.14,37.0,94.01,Free/Reduced Lunch: Free/Reduced Price Meal Eligible,10011: Andover School District
134,93.65,115.0,96.99,128.0,94.79,Race/Ethnicity: White,10011: Andover School District
113,94.1,100.0,97.52,108.0,95.52,High Needs: Students Without High Needs,10011: Andover School District
48,93.28,44.0,95.13,50.0,93.89,High Needs: Students With High Needs,10011: Andover School District
369,88.97,394.0,86.92,411.0,93.37,Students With Disabilities: Students With Disabilities,20011: Ansonia School District
1192,88.93,1217.0,86.57,1312.0,93.12,Free/Reduced Lunch: Free Meal Eligible,20011: Ansonia School District
225,92.82,213.0,92.34,147.0,95.63,Free/Reduced Lunch: Reduced Price Meal Eligible,20011: Ansonia School District
1417,89.53,1430.0,87.43,1459.0,93.38,Free/Reduced Lunch: Free/Reduced Price Meal Eligible,20011: Ansonia School District
122,91.8,119.0,89.51,129.0,95.06,English Learners: English Learners,20011: Ansonia School District
149,91.91,166.0,91.05,170.0,94.51,Race/Ethnicity: All other races,20011: Ansonia School District
434,89.87,421.0,86.93,434.0,94.14,Race/Ethnicity: Black or African American,20011: Ansonia School District
987,89.94,946.0,87.98,923.0,93.66,Race/Ethnicity: Hispanic/Latino of any race,20011: Ansonia School District
569,91.36,620.0,92.17,658.0,94.68,Race/Ethnicity: White,20011: Ansonia School District
528,92.87,551.0,93.89,587.0,95.68,High Needs: Students Without High Needs,20011: Ansonia School District
1545,89.68,1563.0,87.64,1598.0,93.55,High Needs: Students With High Needs,20011: Ansonia School District
46,92.53,47.0,95.73,56.0,94.68,Students With Disabilities: Students With Disabilities,30011: Ashford School District
92,91.67,98.0,92.81,,,Free/Reduced Lunch: Free Meal Eligible,30011: Ashford School District
21,91.74,28.0,94.24,,,Free/Reduced Lunch: Reduced Price Meal Eligible,30011: Ashford School District
113,91.68,126.0,93.12,130.0,94.77,Free/Reduced Lunch: Free/Reduced Price Meal Eligible,30011: Ashford School District
31,91.33,27.0,94.08,22.0,93.53,Race/Ethnicity: Hispanic/Latino of any race,30011: Ashford School District
283,93.49,292.0,95.98,298.0,96.07,Race/Ethnicity: White,30011: Ashford School District
189,93.85,179.0,96.86,182.0,96.66,High Needs: Students Without High Needs,30011: Ashford School District
145,92.06,155.0,93.8,166.0,94.96,High Needs: Students With High Needs,30011: Ashford School District
324,92.07,305.0,93.09,330.0,94.21,Students With Disabilities: Students With Disabilities,40011: Avon School District
226,91.45,184.0,91.52,243.0,93.89,Free/Reduced Lunch: Free Meal Eligible,40011: Avon School District
60,90.22,51.0,93.56,47.0,93.65,Free/Reduced Lunch: Reduced Price Meal Eligible,40011: Avon School District
286,91.19,235.0,91.97,290.0,93.85,Free/Reduced Lunch: Free/Reduced Price Meal Eligible,40011: Avon School District
76,94.14,90.0,96.01,104.0,94.35,English Learners: English Learners,40011: Avon School District
712,95.43,737.0,97.6,755.0,96.43,Race/Ethnicity: All other races,40011: Avon School District
179,92.24,172.0,92.99,162.0,94.78,Race/Ethnicity: Black or African American,40011: Avon School District
221,93.49,226.0,94.14,215.0,95.2,Race/Ethnicity: Hispanic/Latino of any race,40011: Avon School District
1945,94.58,1958.0,96.2,2006.0,95.76,Race/Ethnicity: White,40011: Avon School District
2427,95.17,2501.0,96.81,2531.0,96.22,High Needs: Students Without High Needs,40011: Avon School District
587,92.21,546.0,93.48,607.0,94.17,High Needs: Students With High Needs,40011: Avon School District
45,91.23,44.0,95.78,56.0,95.36,Students With Disabilities: Students With Disabilities,50011: Barkhamsted School District
44,92.39,43.0,96.26,54.0,95.33,Free/Reduced Lunch: Free/Reduced Price Meal Eligible,50011: Barkhamsted School District
176,93.1,175.0,96.93,182.0,95.65,Race/Ethnicity: White,50011: Barkhamsted School District
124,93.69,118.0,97.61,113.0,96.14,High Needs: Students Without High Needs,50011: Barkhamsted School District
73,91.91,71.0,96.0,86.0,95.19,High Needs: Students With High Needs,50011: Barkhamsted School District
385,90.7,403.0,92.49,398.0,93.56,Students With Disabilities: Students With Disabilities,70011: Berlin School District
429,90.39,504.0,91.83,504.0,93.79,Free/Reduced Lunch: Free Meal Eligible,70011: Berlin School District
128,91.46,126.0,95.32,83.0,95.43,Free/Reduced Lunch: Reduced Price Meal Eligible,70011: Berlin School District
557,90.63,630.0,92.53,587.0,94.03,Free/Reduced Lunch: Free/Reduced Price Meal Eligible,70011: Berlin School District
95,91.71,105.0,92.98,96.0,94.13,English Learners: English Learners,70011: Berlin School District
192,94.11,199.0,95.19,190.0,96.27,Race/Ethnicity: All other races,70011: Berlin School District
64,92.71,77.0,93.79,63.0,94.73,Race/Ethnicity: Black or African American,70011: Berlin School District
317,90.5,321.0,92.17,313.0,93.64,Race/Ethnicity: Hispanic/Latino of any race,70011: Berlin School District
2040,93.83,2083.0,96.0,2134.0,95.87,Race/Ethnicity: White,70011: Berlin School District
1756,94.49,1763.0,96.53,1838.0,96.29,High Needs: Students Without High Needs,70011: Berlin School District
