Cluster,2021-2022 attendance rate - year to date_scaled,2020-2021 attendance rate_scaled,2019-2020 attendance rate_scaled,2021-2022 student count - year to date_scaled,2020-2021 student count_scaled,2019-2020 student count_scaled,Metric Type,English Learners: English Learners,Free/Reduced Lunch: Free Meal Eligible,Free/Reduced Lunch: Free/Reduced Price Meal Eligible,Free/Reduced Lunch: Reduced Price Meal Eligible,High Needs: Students With High Needs,High Needs: Students Without High Needs,Homelessness: Students Experiencing Homelessness,Race/Ethnicity: All other races,Race/Ethnicity: Black or African American,Race/Ethnicity: Hispanic/Latino of any race,Race/Ethnicity: White,Students With Disabilities: Students With Disabilities
0,0.8344903165366717,0.9526963550550848,0.9483545574636724,0.44691103027604145,0.4476705041445647,0.44525479224542247,Average (Scaled),,,,,,,,,,,,
1,0.8354998887805211,0.9565560363022373,0.952149043478261,-0.44137793529501074,-0.42601503657699663,-0.43078352168957995,Average (Scaled),,,,,,,,,,,,
2,0.5472255017709563,0.8112059613121508,0.9222818181818181,-0.4958519691314196,-0.5218678353744705,-0.28860051513801016,Average (Scaled),,,,,,,,,,,,
3,0.7683746556473828,0.28274137001078753,0.172688,-0.7659064718986476,-2.073554978888022,-2.285246532309118,Average (Scaled),,,,,,,,,,,,
4,0.6820557033586511,0.8915422211052619,0.9380689373297003,0.15299068934309273,0.16327658062238984,0.16799837933540357,Average (Scaled),,,,,,,,,,,,
0,,,,,,,Percentage of Student Group,2.509907529722589,6.869220607661823,9.247027741083222,0.7926023778071334,14.134742404227213,16.6446499339498,0.0,8.45442536327609,4.7556142668428,6.869220607661823,19.28665785997358,10.435931307793924
1,,,,,,,Percentage of Student Group,10.26086956521739,6.956521739130435,11.652173913043478,19.47826086956522,7.652173913043478,9.73913043478261,0.0,6.260869565217392,8.347826086956523,8.869565217391303,3.6521739130434785,7.130434782608695
2,,,,,,,Percentage of Student Group,6.8181818181818175,9.090909090909092,15.909090909090908,13.636363636363635,4.545454545454546,4.545454545454546,25.0,0.0,2.272727272727273,4.545454545454546,2.272727272727273,11.363636363636363
3,,,,,,,Percentage of Student Group,6.666666666666667,14.666666666666666,6.666666666666667,10.666666666666668,2.666666666666667,2.666666666666667,2.666666666666667,9.333333333333334,8.0,24.0,4.0,8.0
4,,,,,,,Percentage of Student Group,8.446866485013624,13.896457765667575,13.079019073569482,4.35967302452316,11.444141689373296,2.997275204359673,0.544959128065395,3.8147138964577656,10.08174386920981,12.26158038147139,2.997275204359673,16.076294277929154
